sektor,transaktionspost,kvartal,"Inkomster och utgifter samt kapitaltransaktioner (ENS2010), löpande priser, mnkr"
S11 Icke-finansiella bolag,"P1O.REC Marknadsprod., prod. för egen slutlig anv. och betalningar för övrig icke-marknadsprod.",2024K1,..
S11 Icke-finansiella bolag,"P1O.REC Marknadsprod., prod. för egen slutlig anv. och betalningar för övrig icke-marknadsprod.",2024K2,..
S11 Icke-finansiella bolag,"P1O.REC Marknadsprod., prod. för egen slutlig anv. och betalningar för övrig icke-marknadsprod.",2024K3,..
S11 Icke-finansiella bolag,"P1O.REC Marknadsprod., prod. för egen slutlig anv. och betalningar för övrig icke-marknadsprod.",2024K4,..
S11 Icke-finansiella bolag,"P51c.PAY Kapitalförslitning, användning ",2024K1,193981
S11 Icke-finansiella bolag,"P51c.PAY Kapitalförslitning, användning ",2024K2,199531
S11 Icke-finansiella bolag,"P51c.PAY Kapitalförslitning, användning ",2024K3,200737
S11 Icke-finansiella bolag,"P51c.PAY Kapitalförslitning, användning ",2024K4,202691
S11 Icke-finansiella bolag,"B1nb Nettonationalprodukt (NNP) till baspris/Förädlingsvärde, netto till baspris",2024K1,742802
S11 Icke-finansiella bolag,"B1nb Nettonationalprodukt (NNP) till baspris/Förädlingsvärde, netto till baspris",2024K2,795750
S11 Icke-finansiella bolag,"B1nb Nettonationalprodukt (NNP) till baspris/Förädlingsvärde, netto till baspris",2024K3,722478
S11 Icke-finansiella bolag,"B1nb Nettonationalprodukt (NNP) till baspris/Förädlingsvärde, netto till baspris",2024K4,834039
S11 Icke-finansiella bolag,B1nm Nettonationalprodukt (NNP) till marknadspris ,2024K1,..
S11 Icke-finansiella bolag,B1nm Nettonationalprodukt (NNP) till marknadspris ,2024K2,..
S11 Icke-finansiella bolag,B1nm Nettonationalprodukt (NNP) till marknadspris ,2024K3,..
S11 Icke-finansiella bolag,B1nm Nettonationalprodukt (NNP) till marknadspris ,2024K4,..
S11 Icke-finansiella bolag,"B1gb Bruttonationalprodukt (BNP) till baspris/Förädlingsvärde, brutto till baspris",2024K1,936783
S11 Icke-finansiella bolag,"B1gb Bruttonationalprodukt (BNP) till baspris/Förädlingsvärde, brutto till baspris",2024K2,995281
S11 Icke-finansiella bolag,"B1gb Bruttonationalprodukt (BNP) till baspris/Förädlingsvärde, brutto till baspris",2024K3,923215
S11 Icke-finansiella bolag,"B1gb Bruttonationalprodukt (BNP) till baspris/Förädlingsvärde, brutto till baspris",2024K4,1036730
S11 Icke-finansiella bolag,"B1gm BNP, Bruttonationalprodukt till marknadspris",2024K1,..
S11 Icke-finansiella bolag,"B1gm BNP, Bruttonationalprodukt till marknadspris",2024K2,..
S11 Icke-finansiella bolag,"B1gm BNP, Bruttonationalprodukt till marknadspris",2024K3,..
