region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän fastighetstaxering. Taxeringsenheter, totalt taxeringsvärde och areal"
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",okänd,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",okänd,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",okänd,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",fysisk person,2024,Taxeringsenheter,75814
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",22012
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",fysisk person,2024,"Areal, kvkm",254.41
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",dödsbo,2024,Taxeringsenheter,2400
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",557
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",dödsbo,2024,"Areal, kvkm",8.67
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",stat,2024,Taxeringsenheter,27
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",stat,2024,"Totalt taxeringsvärde, miljoner kr",16
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",stat,2024,"Areal, kvkm",0.12
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr","kommun, landsting",2024,Taxeringsenheter,134
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",67
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr","kommun, landsting",2024,"Areal, kvkm",0.34
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",allmännyttigt bostadsföretag,2024,Taxeringsenheter,14
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",1
