region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän fastighetstaxering. Taxeringsenheter, totalt taxeringsvärde och areal"
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",23
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",övrigt svenskt AB,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",övriga juridiska personer,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",övriga juridiska personer,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",okänd,2024,Taxeringsenheter,1
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",okänd,2024,"Totalt taxeringsvärde, miljoner kr",2
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",okänd,2024,"Areal, kvkm",0.00
00 Riket,Övrig småhusenhet,fysisk person,2024,Taxeringsenheter,85390
00 Riket,Övrig småhusenhet,fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",45362
00 Riket,Övrig småhusenhet,fysisk person,2024,"Areal, kvkm",240.43
00 Riket,Övrig småhusenhet,dödsbo,2024,Taxeringsenheter,3905
00 Riket,Övrig småhusenhet,dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",1045
00 Riket,Övrig småhusenhet,dödsbo,2024,"Areal, kvkm",15.07
00 Riket,Övrig småhusenhet,stat,2024,Taxeringsenheter,509
00 Riket,Övrig småhusenhet,stat,2024,"Totalt taxeringsvärde, miljoner kr",707
00 Riket,Övrig småhusenhet,stat,2024,"Areal, kvkm",3.50
00 Riket,Övrig småhusenhet,"kommun, landsting",2024,Taxeringsenheter,18019
00 Riket,Övrig småhusenhet,"kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",9363
00 Riket,Övrig småhusenhet,"kommun, landsting",2024,"Areal, kvkm",46.99
00 Riket,Övrig småhusenhet,allmännyttigt bostadsföretag,2024,Taxeringsenheter,717
00 Riket,Övrig småhusenhet,allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",146
00 Riket,Övrig småhusenhet,allmännyttigt bostadsföretag,2024,"Areal, kvkm",1.73
00 Riket,Övrig småhusenhet,bostadsrättsförening,2024,Taxeringsenheter,830
00 Riket,Övrig småhusenhet,bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",1151
00 Riket,Övrig småhusenhet,bostadsrättsförening,2024,"Areal, kvkm",1.42
00 Riket,Övrig småhusenhet,ekonomisk förening utom BRF,2024,Taxeringsenheter,755
00 Riket,Övrig småhusenhet,ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",3184
00 Riket,Övrig småhusenhet,ekonomisk förening utom BRF,2024,"Areal, kvkm",5.51
00 Riket,Övrig småhusenhet,övrigt svenskt AB,2024,Taxeringsenheter,15635
00 Riket,Övrig småhusenhet,övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",11430
00 Riket,Övrig småhusenhet,övrigt svenskt AB,2024,"Areal, kvkm",34.89
00 Riket,Övrig småhusenhet,övriga juridiska personer,2024,Taxeringsenheter,244
00 Riket,Övrig småhusenhet,övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",153
00 Riket,Övrig småhusenhet,övriga juridiska personer,2024,"Areal, kvkm",2.34
00 Riket,Övrig småhusenhet,okänd,2024,Taxeringsenheter,8788
00 Riket,Övrig småhusenhet,okänd,2024,"Totalt taxeringsvärde, miljoner kr",3905
00 Riket,Övrig småhusenhet,okänd,2024,"Areal, kvkm",54.82
