näringsgren SNI 2007,tillgångsslag,år,tabellinnehåll,"Stock av fast realkapital, netto 1  januari respektive år (ENS2010)"
J58 förlag,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",55694
"J59-J60 film, video, ljud, planering och sändning av program",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",13108
J61 telekommunikation,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",421436
"J62-J63 dataprogrammering, datakonsulter och informationstjänster",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",424000
K64-K66 finans- och försäkringsverksamhet,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",225489
K64 banker och andra kreditinstitut,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",113566
"K65 försäkrings- och återförsäkringsbolag, pensionsfonder",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",92156
K66 serviceföretag till finans- och försäkringsverksamhet,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",19767
"L68-N82 fastighetsbolag, uthyrnings- och företagsservicefirmor",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",9568626
L68A småhus,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",4038572
L68B övrig fastighetsförvaltning,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",5046990
"M69-M70 juridisk och ekonomisk verksamhet, verksamheter som utövas av huvudkontor; konsulttjänster till företag",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",104346
"M69-N82 verksamhet inom juridik, ekonomi, vetenskap, teknik; uthyrning fastighetsservice, resetjänster och andra stödtjänster",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",483064
"M69-M75 verksamhet inom juridik, ekonomi, vetenskap och teknik",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",274847
"M71-M72 arkitekt- och tekniska tjänster, vetenskaplig forskning och utveckling",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",130391
"M73-M75 reklam och marknadsundersökning, annan verksamhet inom juridik, ekonomi, vetenskap, teknik; veterinärverksamhet",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",40110
"N77-N82 uthyrning av fastighetsservice, resetjänster och andra stödtjänster",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",208217
N77 uthyrningsfirmor   ,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",131850
"N78-N82 arbetsförmedling, resetjänster, andra stödtjänster",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",76367
"P85-Q88 utbildning, vård och sociala tjänster",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",83160
"P85-T98 utbildning, hälsovård, samhälls- och personliga tjänster",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",178515
P85 utbildning,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",26025
Q86 hälso- och sjukvård,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",37434
"Q87-Q88 vård och omsorg med boende, öppna sociala insatser",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",19701
"R90-R93 kultur, nöje och fritid",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",72062
S94-T98 annan serviceverksamhet och förvärvsarbete i hushåll m.m.,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",23293
Y0115 hushållens icke-vinstdrivande organisationer,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",147869
Y012 offentliga myndigheter,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",4647267
Y0135 statliga myndigheter och sociala trygghetsfonder,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",2048002
Y016 kommunala myndigheter,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",2599265
Y0485 primärkommunala myndigheter och kommunalförbund,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",1839875
Y0605 regionala myndigheter,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",759390
