"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"BNP till marknadspris","2002","Prisförändring, procent",1.6
"BNP till marknadspris","2002","Volymförändring, procent",2.3
"BNP till marknadspris","2003","Löpande priser, mnkr",2701410
"BNP till marknadspris","2003","Fasta priser referensår 2020, mnkr",3652660
"BNP till marknadspris","2003","Prisförändring, procent",1.8
"BNP till marknadspris","2003","Volymförändring, procent",1.9
"BNP till marknadspris","2004","Löpande priser, mnkr",2825986
"BNP till marknadspris","2004","Fasta priser referensår 2020, mnkr",3805326
"BNP till marknadspris","2004","Prisförändring, procent",0.4
"BNP till marknadspris","2004","Volymförändring, procent",4.2
"BNP till marknadspris","2005","Löpande priser, mnkr",2927127
"BNP till marknadspris","2005","Fasta priser referensår 2020, mnkr",3911614
"BNP till marknadspris","2005","Prisförändring, procent",0.8
"BNP till marknadspris","2005","Volymförändring, procent",2.8
"BNP till marknadspris","2006","Löpande priser, mnkr",3117499
"BNP till marknadspris","2006","Fasta priser referensår 2020, mnkr",4094524
"BNP till marknadspris","2006","Prisförändring, procent",1.7
"BNP till marknadspris","2006","Volymförändring, procent",4.7
"BNP till marknadspris","2007","Löpande priser, mnkr",3312135
"BNP till marknadspris","2007","Fasta priser referensår 2020, mnkr",4226567
"BNP till marknadspris","2007","Prisförändring, procent",2.9
"BNP till marknadspris","2007","Volymförändring, procent",3.2
"BNP till marknadspris","2008","Löpande priser, mnkr",3391873
"BNP till marknadspris","2008","Fasta priser referensår 2020, mnkr",4187551
"BNP till marknadspris","2008","Prisförändring, procent",3.4
"BNP till marknadspris","2008","Volymförändring, procent",-0.9
"BNP till marknadspris","2009","Löpande priser, mnkr",3324135
"BNP till marknadspris","2009","Fasta priser referensår 2020, mnkr",4009345
"BNP till marknadspris","2009","Prisförändring, procent",2.4
"BNP till marknadspris","2009","Volymförändring, procent",-4.3
"BNP till marknadspris","2010","Löpande priser, mnkr",3551514
"BNP till marknadspris","2010","Fasta priser referensår 2020, mnkr",4239913
"BNP till marknadspris","2010","Prisförändring, procent",1.0
"BNP till marknadspris","2010","Volymförändring, procent",5.8
"BNP till marknadspris","2011","Löpande priser, mnkr",3704817
"BNP till marknadspris","2011","Fasta priser referensår 2020, mnkr",4374059
"BNP till marknadspris","2011","Prisförändring, procent",1.1
"BNP till marknadspris","2011","Volymförändring, procent",3.2
"BNP till marknadspris","2012","Löpande priser, mnkr",3724495
"BNP till marknadspris","2012","Fasta priser referensår 2020, mnkr",4355933
"BNP till marknadspris","2012","Prisförändring, procent",0.9
"BNP till marknadspris","2012","Volymförändring, procent",-0.4
"BNP till marknadspris","2013","Löpande priser, mnkr",3804976
"BNP till marknadspris","2013","Fasta priser referensår 2020, mnkr",4405489
"BNP till marknadspris","2013","Prisförändring, procent",1.0
"BNP till marknadspris","2013","Volymförändring, procent",1.1
"BNP till marknadspris","2014","Löpande priser, mnkr",3963666
"BNP till marknadspris","2014","Fasta priser referensår 2020, mnkr",4506629
"BNP till marknadspris","2014","Prisförändring, procent",1.8
"BNP till marknadspris","2014","Volymförändring, procent",2.3
"BNP till marknadspris","2015","Löpande priser, mnkr",4230936
"BNP till marknadspris","2015","Fasta priser referensår 2020, mnkr",4704391
"BNP till marknadspris","2015","Prisförändring, procent",2.3
"BNP till marknadspris","2015","Volymförändring, procent",4.4
"BNP till marknadspris","2016","Löpande priser, mnkr",4392801
"BNP till marknadspris","2016","Fasta priser referensår 2020, mnkr",4804650
"BNP till marknadspris","2016","Prisförändring, procent",1.7
"BNP till marknadspris","2016","Volymförändring, procent",2.1
"BNP till marknadspris","2017","Löpande priser, mnkr",4575114
"BNP till marknadspris","2017","Fasta priser referensår 2020, mnkr",4895113
"BNP till marknadspris","2017","Prisförändring, procent",2.2
"BNP till marknadspris","2017","Volymförändring, procent",1.9
"BNP till marknadspris","2018","Löpande priser, mnkr",4777837
"BNP till marknadspris","2018","Fasta priser referensår 2020, mnkr",4981769
"BNP till marknadspris","2018","Prisförändring, procent",2.6
"BNP till marknadspris","2018","Volymförändring, procent",1.8
"BNP till marknadspris","2019","Löpande priser, mnkr",5021382
"BNP till marknadspris","2019","Fasta priser referensår 2020, mnkr",5111705
"BNP till marknadspris","2019","Prisförändring, procent",2.4
"BNP till marknadspris","2019","Volymförändring, procent",2.6
"BNP till marknadspris","2020","Löpande priser, mnkr",5012855
"BNP till marknadspris","2020","Fasta priser referensår 2020, mnkr",5012855
"BNP till marknadspris","2020","Prisförändring, procent",1.8
"BNP till marknadspris","2020","Volymförändring, procent",-1.9
"BNP till marknadspris","2021","Löpande priser, mnkr",5417760
"BNP till marknadspris","2021","Fasta priser referensår 2020, mnkr",5274820
"BNP till marknadspris","2021","Prisförändring, procent",2.7
"BNP till marknadspris","2021","Volymförändring, procent",5.2
"BNP till marknadspris","2022","Löpande priser, mnkr",5816415
"BNP till marknadspris","2022","Fasta priser referensår 2020, mnkr",5341042
"BNP till marknadspris","2022","Prisförändring, procent",6.0
"BNP till marknadspris","2022","Volymförändring, procent",1.3
"BNP till marknadspris","2023","Löpande priser, mnkr",6143187
"BNP till marknadspris","2023","Fasta priser referensår 2020, mnkr",5330143
"BNP till marknadspris","2023","Prisförändring, procent",5.8
"BNP till marknadspris","2023","Volymförändring, procent",-0.2
"BNP till marknadspris","2024","Löpande priser, mnkr",6443039
"BNP till marknadspris","2024","Fasta priser referensår 2020, mnkr",5436222
"BNP till marknadspris","2024","Prisförändring, procent",2.8
"BNP till marknadspris","2024","Volymförändring, procent",2.0
"import av varor och tjänster","1980","Löpande priser, mnkr",171055
"import av varor och tjänster","1980","Fasta priser referensår 2020, mnkr",441370
"import av varor och tjänster","1980","Prisförändring, procent",..
"import av varor och tjänster","1980","Volymförändring, procent",..
"import av varor och tjänster","1981","Löpande priser, mnkr",181793
"import av varor och tjänster","1981","Fasta priser referensår 2020, mnkr",421329
"import av varor och tjänster","1981","Prisförändring, procent",11.3
"import av varor och tjänster","1981","Volymförändring, procent",-4.5
"import av varor och tjänster","1982","Löpande priser, mnkr",217884
"import av varor och tjänster","1982","Fasta priser referensår 2020, mnkr",441539
"import av varor och tjänster","1982","Prisförändring, procent",14.4
"import av varor och tjänster","1982","Volymförändring, procent",4.8
"import av varor och tjänster","1983","Löpande priser, mnkr",249555
"import av varor och tjänster","1983","Fasta priser referensår 2020, mnkr",445588
"import av varor och tjänster","1983","Prisförändring, procent",13.5
"import av varor och tjänster","1983","Volymförändring, procent",0.9
"import av varor och tjänster","1984","Löpande priser, mnkr",272998
"import av varor och tjänster","1984","Fasta priser referensår 2020, mnkr",468864
"import av varor och tjänster","1984","Prisförändring, procent",4.0
"import av varor och tjänster","1984","Volymförändring, procent",5.2
"import av varor och tjänster","1985","Löpande priser, mnkr",304823
"import av varor och tjänster","1985","Fasta priser referensår 2020, mnkr",505290
"import av varor och tjänster","1985","Prisförändring, procent",3.6
"import av varor och tjänster","1985","Volymförändring, procent",7.8
"import av varor och tjänster","1986","Löpande priser, mnkr",295241
"import av varor och tjänster","1986","Fasta priser referensår 2020, mnkr",523552
"import av varor och tjänster","1986","Prisförändring, procent",-6.5
"import av varor och tjänster","1986","Volymförändring, procent",3.6
"import av varor och tjänster","1987","Löpande priser, mnkr",329611
"import av varor och tjänster","1987","Fasta priser referensår 2020, mnkr",562657
"import av varor och tjänster","1987","Prisförändring, procent",3.9
"import av varor och tjänster","1987","Volymförändring, procent",7.5
"import av varor och tjänster","1988","Löpande priser, mnkr",359852
"import av varor och tjänster","1988","Fasta priser referensår 2020, mnkr",591211
"import av varor och tjänster","1988","Prisförändring, procent",3.9
"import av varor och tjänster","1988","Volymförändring, procent",5.1
"import av varor och tjänster","1989","Löpande priser, mnkr",411346
"import av varor och tjänster","1989","Fasta priser referensår 2020, mnkr",636178
"import av varor och tjänster","1989","Prisförändring, procent",6.2
"import av varor och tjänster","1989","Volymförändring, procent",7.6
"import av varor och tjänster","1990","Löpande priser, mnkr",429956
"import av varor och tjänster","1990","Fasta priser referensår 2020, mnkr",642330
"import av varor och tjänster","1990","Prisförändring, procent",3.5
"import av varor och tjänster","1990","Volymförändring, procent",1.0
"import av varor och tjänster","1991","Löpande priser, mnkr",412764
"import av varor och tjänster","1991","Fasta priser referensår 2020, mnkr",610539
"import av varor och tjänster","1991","Prisförändring, procent",1.0
"import av varor och tjänster","1991","Volymförändring, procent",-4.9
"import av varor och tjänster","1992","Löpande priser, mnkr",408718
"import av varor och tjänster","1992","Fasta priser referensår 2020, mnkr",620096
"import av varor och tjänster","1992","Prisförändring, procent",-2.5
"import av varor och tjänster","1992","Volymförändring, procent",1.6
"import av varor och tjänster","1993","Löpande priser, mnkr",457314
"import av varor och tjänster","1993","Fasta priser referensår 2020, mnkr",601802
"import av varor och tjänster","1993","Prisförändring, procent",15.3
"import av varor och tjänster","1993","Volymförändring, procent",-3.0
"import av varor och tjänster","1994","Löpande priser, mnkr",531822
"import av varor och tjänster","1994","Fasta priser referensår 2020, mnkr",679218
"import av varor och tjänster","1994","Prisförändring, procent",3.0
"import av varor och tjänster","1994","Volymförändring, procent",12.9
"import av varor och tjänster","1995","Löpande priser, mnkr",597035
"import av varor och tjänster","1995","Fasta priser referensår 2020, mnkr",728405
"import av varor och tjänster","1995","Prisförändring, procent",4.7
"import av varor och tjänster","1995","Volymförändring, procent",7.2
"import av varor och tjänster","1996","Löpande priser, mnkr",594783
"import av varor och tjänster","1996","Fasta priser referensår 2020, mnkr",754422
"import av varor och tjänster","1996","Prisförändring, procent",-3.8
"import av varor och tjänster","1996","Volymförändring, procent",3.6
"import av varor och tjänster","1997","Löpande priser, mnkr",671011
"import av varor och tjänster","1997","Fasta priser referensår 2020, mnkr",848153
"import av varor och tjänster","1997","Prisförändring, procent",0.3
"import av varor och tjänster","1997","Volymförändring, procent",12.4
"import av varor och tjänster","1998","Löpande priser, mnkr",736603
"import av varor och tjänster","1998","Fasta priser referensår 2020, mnkr",941209
"import av varor och tjänster","1998","Prisförändring, procent",-1.1
"import av varor och tjänster","1998","Volymförändring, procent",11.0
"import av varor och tjänster","1999","Löpande priser, mnkr",785830
"import av varor och tjänster","1999","Fasta priser referensår 2020, mnkr",993714
"import av varor och tjänster","1999","Prisförändring, procent",1.0
"import av varor och tjänster","1999","Volymförändring, procent",5.6
"import av varor och tjänster","2000","Löpande priser, mnkr",920796
"import av varor och tjänster","2000","Fasta priser referensår 2020, mnkr",1118493
"import av varor och tjänster","2000","Prisförändring, procent",4.1
"import av varor och tjänster","2000","Volymförändring, procent",12.6
"import av varor och tjänster","2001","Löpande priser, mnkr",943544
"import av varor och tjänster","2001","Fasta priser referensår 2020, mnkr",1103187
"import av varor och tjänster","2001","Prisförändring, procent",3.9
"import av varor och tjänster","2001","Volymförändring, procent",-1.4
"import av varor och tjänster","2002","Löpande priser, mnkr",935246
"import av varor och tjänster","2002","Fasta priser referensår 2020, mnkr",1092674
"import av varor och tjänster","2002","Prisförändring, procent",0.1
"import av varor och tjänster","2002","Volymförändring, procent",-1.0
"import av varor och tjänster","2003","Löpande priser, mnkr",945281
"import av varor och tjänster","2003","Fasta priser referensår 2020, mnkr",1128199
"import av varor och tjänster","2003","Prisförändring, procent",-2.1
"import av varor och tjänster","2003","Volymförändring, procent",3.3
"import av varor och tjänster","2004","Löpande priser, mnkr",1017834
"import av varor och tjänster","2004","Fasta priser referensår 2020, mnkr",1205960
"import av varor och tjänster","2004","Prisförändring, procent",0.7
"import av varor och tjänster","2004","Volymförändring, procent",6.9
"import av varor och tjänster","2005","Löpande priser, mnkr",1136788
"import av varor och tjänster","2005","Fasta priser referensår 2020, mnkr",1288430
"import av varor och tjänster","2005","Prisförändring, procent",4.5
"import av varor och tjänster","2005","Volymförändring, procent",6.8
"import av varor och tjänster","2006","Löpande priser, mnkr",1269817
"import av varor och tjänster","2006","Fasta priser referensår 2020, mnkr",1393683
"import av varor och tjänster","2006","Prisförändring, procent",3.3
"import av varor och tjänster","2006","Volymförändring, procent",8.2
"import av varor och tjänster","2007","Löpande priser, mnkr",1385231
"import av varor och tjänster","2007","Fasta priser referensår 2020, mnkr",1517232
"import av varor och tjänster","2007","Prisförändring, procent",0.2
"import av varor och tjänster","2007","Volymförändring, procent",8.9
"import av varor och tjänster","2008","Löpande priser, mnkr",1485446
"import av varor och tjänster","2008","Fasta priser referensår 2020, mnkr",1560185
"import av varor och tjänster","2008","Prisförändring, procent",4.3
"import av varor och tjänster","2008","Volymförändring, procent",2.8
"import av varor och tjänster","2009","Löpande priser, mnkr",1279765
"import av varor och tjänster","2009","Fasta priser referensår 2020, mnkr",1341441
"import av varor och tjänster","2009","Prisförändring, procent",0.2
"import av varor och tjänster","2009","Volymförändring, procent",-14.0
"import av varor och tjänster","2010","Löpande priser, mnkr",1428222
"import av varor och tjänster","2010","Fasta priser referensår 2020, mnkr",1504780
"import av varor och tjänster","2010","Prisförändring, procent",-0.5
"import av varor och tjänster","2010","Volymförändring, procent",12.2
"import av varor och tjänster","2011","Löpande priser, mnkr",1518109
"import av varor och tjänster","2011","Fasta priser referensår 2020, mnkr",1605746
"import av varor och tjänster","2011","Prisförändring, procent",-0.4
"import av varor och tjänster","2011","Volymförändring, procent",6.7
"import av varor och tjänster","2012","Löpande priser, mnkr",1507098
"import av varor och tjänster","2012","Fasta priser referensår 2020, mnkr",1614595
"import av varor och tjänster","2012","Prisförändring, procent",-1.3
"import av varor och tjänster","2012","Volymförändring, procent",0.6
"import av varor och tjänster","2013","Löpande priser, mnkr",1480287
"import av varor och tjänster","2013","Fasta priser referensår 2020, mnkr",1628724
"import av varor och tjänster","2013","Prisförändring, procent",-2.6
"import av varor och tjänster","2013","Volymförändring, procent",0.9
"import av varor och tjänster","2014","Löpande priser, mnkr",1599904
"import av varor och tjänster","2014","Fasta priser referensår 2020, mnkr",1734635
"import av varor och tjänster","2014","Prisförändring, procent",1.5
"import av varor och tjänster","2014","Volymförändring, procent",6.5
"import av varor och tjänster","2015","Löpande priser, mnkr",1711905
"import av varor och tjänster","2015","Fasta priser referensår 2020, mnkr",1835102
"import av varor och tjänster","2015","Prisförändring, procent",1.1
"import av varor och tjänster","2015","Volymförändring, procent",5.8
"import av varor och tjänster","2016","Löpande priser, mnkr",1779717
"import av varor och tjänster","2016","Fasta priser referensår 2020, mnkr",1938422
"import av varor och tjänster","2016","Prisförändring, procent",-1.6
"import av varor och tjänster","2016","Volymförändring, procent",5.6
"import av varor och tjänster","2017","Löpande priser, mnkr",1928482
"import av varor och tjänster","2017","Fasta priser referensår 2020, mnkr",2023565
"import av varor och tjänster","2017","Prisförändring, procent",3.8
"import av varor och tjänster","2017","Volymförändring, procent",4.4
"import av varor och tjänster","2018","Löpande priser, mnkr",2124602
"import av varor och tjänster","2018","Fasta priser referensår 2020, mnkr",2108189
"import av varor och tjänster","2018","Prisförändring, procent",5.7
"import av varor och tjänster","2018","Volymförändring, procent",4.2
"import av varor och tjänster","2019","Löpande priser, mnkr",2232631
"import av varor och tjänster","2019","Fasta priser referensår 2020, mnkr",2150020
"import av varor och tjänster","2019","Prisförändring, procent",3.0
"import av varor och tjänster","2019","Volymförändring, procent",2.0
"import av varor och tjänster","2020","Löpande priser, mnkr",2014527
"import av varor och tjänster","2020","Fasta priser referensår 2020, mnkr",2014527
"import av varor och tjänster","2020","Prisförändring, procent",-3.7
"import av varor och tjänster","2020","Volymförändring, procent",-6.3
"import av varor och tjänster","2021","Löpande priser, mnkr",2363552
"import av varor och tjänster","2021","Fasta priser referensår 2020, mnkr",2284154
"import av varor och tjänster","2021","Prisförändring, procent",3.5
"import av varor och tjänster","2021","Volymförändring, procent",13.4
"import av varor och tjänster","2022","Löpande priser, mnkr",3071049
"import av varor och tjänster","2022","Fasta priser referensår 2020, mnkr",2508030
"import av varor och tjänster","2022","Prisförändring, procent",18.3
"import av varor och tjänster","2022","Volymförändring, procent",9.8
"import av varor och tjänster","2023","Löpande priser, mnkr",3220494
"import av varor och tjänster","2023","Fasta priser referensår 2020, mnkr",2492998
"import av varor och tjänster","2023","Prisförändring, procent",5.5
"import av varor och tjänster","2023","Volymförändring, procent",-0.6
"import av varor och tjänster","2024","Löpande priser, mnkr",3262995
"import av varor och tjänster","2024","Fasta priser referensår 2020, mnkr",2526910
"import av varor och tjänster","2024","Prisförändring, procent",0.0
"import av varor och tjänster","2024","Volymförändring, procent",1.4
"import av varor","1980","Löpande priser, mnkr",140160
"import av varor","1980","Fasta priser referensår 2020, mnkr",296832
"import av varor","1980","Prisförändring, procent",..
"import av varor","1980","Volymförändring, procent",..
"import av varor","1981","Löpande priser, mnkr",145050
"import av varor","1981","Fasta priser referensår 2020, mnkr",276431
"import av varor","1981","Prisförändring, procent",11.1
"import av varor","1981","Volymförändring, procent",-6.9
"import av varor","1982","Löpande priser, mnkr",173076
"import av varor","1982","Fasta priser referensår 2020, mnkr",290539
"import av varor","1982","Prisförändring, procent",13.5
"import av varor","1982","Volymförändring, procent",5.1
"import av varor","1983","Löpande priser, mnkr",197664
"import av varor","1983","Fasta priser referensår 2020, mnkr",295170
"import av varor","1983","Prisförändring, procent",12.4
"import av varor","1983","Volymförändring, procent",1.6
"import av varor","1984","Löpande priser, mnkr",215712
"import av varor","1984","Fasta priser referensår 2020, mnkr",310148
"import av varor","1984","Prisförändring, procent",3.9
"import av varor","1984","Volymförändring, procent",5.1
"import av varor","1985","Löpande priser, mnkr",241082
"import av varor","1985","Fasta priser referensår 2020, mnkr",336086
"import av varor","1985","Prisförändring, procent",3.1
"import av varor","1985","Volymförändring, procent",8.4
"import av varor","1986","Löpande priser, mnkr",228956
"import av varor","1986","Fasta priser referensår 2020, mnkr",350333
"import av varor","1986","Prisförändring, procent",-8.9
"import av varor","1986","Volymförändring, procent",4.2
"import av varor","1987","Löpande priser, mnkr",253641
"import av varor","1987","Fasta priser referensår 2020, mnkr",376085
"import av varor","1987","Prisförändring, procent",3.2
"import av varor","1987","Volymförändring, procent",7.4
"import av varor","1988","Löpande priser, mnkr",275445
"import av varor","1988","Fasta priser referensår 2020, mnkr",393400
"import av varor","1988","Prisförändring, procent",3.8
"import av varor","1988","Volymförändring, procent",4.6
"import av varor","1989","Löpande priser, mnkr",311122
"import av varor","1989","Fasta priser referensår 2020, mnkr",419689
"import av varor","1989","Prisförändring, procent",5.9
"import av varor","1989","Volymförändring, procent",6.7
"import av varor","1990","Löpande priser, mnkr",315524
"import av varor","1990","Fasta priser referensår 2020, mnkr",417115
"import av varor","1990","Prisförändring, procent",2.0
"import av varor","1990","Volymförändring, procent",-0.6
"import av varor","1991","Löpande priser, mnkr",297186
"import av varor","1991","Fasta priser referensår 2020, mnkr",396267
"import av varor","1991","Prisförändring, procent",-0.9
"import av varor","1991","Volymförändring, procent",-5.0
"import av varor","1992","Löpande priser, mnkr",285466
"import av varor","1992","Fasta priser referensår 2020, mnkr",392156
"import av varor","1992","Prisförändring, procent",-2.9
"import av varor","1992","Volymförändring, procent",-1.0
"import av varor","1993","Löpande priser, mnkr",328351
"import av varor","1993","Fasta priser referensår 2020, mnkr",401958
"import av varor","1993","Prisförändring, procent",12.2
"import av varor","1993","Volymförändring, procent",2.5
"import av varor","1994","Löpande priser, mnkr",391652
"import av varor","1994","Fasta priser referensår 2020, mnkr",461172
"import av varor","1994","Prisförändring, procent",4.0
"import av varor","1994","Volymförändring, procent",14.7
"import av varor","1995","Löpande priser, mnkr",448118
"import av varor","1995","Fasta priser referensår 2020, mnkr",499742
"import av varor","1995","Prisförändring, procent",5.6
"import av varor","1995","Volymförändring, procent",8.4
"import av varor","1996","Löpande priser, mnkr",438937
"import av varor","1996","Fasta priser referensår 2020, mnkr",513584
"import av varor","1996","Prisförändring, procent",-4.7
"import av varor","1996","Volymförändring, procent",2.8
"import av varor","1997","Löpande priser, mnkr",489164
"import av varor","1997","Fasta priser referensår 2020, mnkr",570988
"import av varor","1997","Prisförändring, procent",0.2
"import av varor","1997","Volymförändring, procent",11.2
"import av varor","1998","Löpande priser, mnkr",533443
"import av varor","1998","Fasta priser referensår 2020, mnkr",630226
"import av varor","1998","Prisförändring, procent",-1.2
"import av varor","1998","Volymförändring, procent",10.4
"import av varor","1999","Löpande priser, mnkr",561569
"import av varor","1999","Fasta priser referensår 2020, mnkr",658160
"import av varor","1999","Prisförändring, procent",0.8
"import av varor","1999","Volymförändring, procent",4.4
"import av varor","2000","Löpande priser, mnkr",665122
"import av varor","2000","Fasta priser referensår 2020, mnkr",745241
"import av varor","2000","Prisförändring, procent",4.6
"import av varor","2000","Volymförändring, procent",13.2
"import av varor","2001","Löpande priser, mnkr",657991
"import av varor","2001","Fasta priser referensår 2020, mnkr",715379
"import av varor","2001","Prisförändring, procent",3.1
"import av varor","2001","Volymförändring, procent",-4.0
"import av varor","2002","Löpande priser, mnkr",654697
"import av varor","2002","Fasta priser referensår 2020, mnkr",715733
"import av varor","2002","Prisförändring, procent",-0.5
"import av varor","2002","Volymförändring, procent",0.0
"import av varor","2003","Löpande priser, mnkr",669839
"import av varor","2003","Fasta priser referensår 2020, mnkr",753105
"import av varor","2003","Prisförändring, procent",-2.8
"import av varor","2003","Volymförändring, procent",5.2
"import av varor","2004","Löpande priser, mnkr",729162
"import av varor","2004","Fasta priser referensår 2020, mnkr",814128
"import av varor","2004","Prisförändring, procent",0.7
"import av varor","2004","Volymförändring, procent",8.1
"import av varor","2005","Löpande priser, mnkr",821454
"import av varor","2005","Fasta priser referensår 2020, mnkr",873177
"import av varor","2005","Prisförändring, procent",5.0
"import av varor","2005","Volymförändring, procent",7.3
"import av varor","2006","Löpande priser, mnkr",929197
"import av varor","2006","Fasta priser referensår 2020, mnkr",950669
"import av varor","2006","Prisförändring, procent",3.9
"import av varor","2006","Volymförändring, procent",8.9
"import av varor","2007","Löpande priser, mnkr",1019841
"import av varor","2007","Fasta priser referensår 2020, mnkr",1046285
"import av varor","2007","Prisförändring, procent",-0.3
"import av varor","2007","Volymförändring, procent",10.1
"import av varor","2008","Löpande priser, mnkr",1081821
"import av varor","2008","Fasta priser referensår 2020, mnkr",1065351
"import av varor","2008","Prisförändring, procent",4.2
"import av varor","2008","Volymförändring, procent",1.8
"import av varor","2009","Löpande priser, mnkr",890683
"import av varor","2009","Fasta priser referensår 2020, mnkr",887484
