"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2012","Fasta priser referensår 2020, mnkr",1975726
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2012","Prisförändring, procent",0.5
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2012","Volymförändring, procent",1.1
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2013","Löpande priser, mnkr",1823615
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2013","Fasta priser referensår 2020, mnkr",2011844
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2013","Prisförändring, procent",0.6
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2013","Volymförändring, procent",1.8
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2014","Löpande priser, mnkr",1892031
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2014","Fasta priser referensår 2020, mnkr",2070059
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2014","Prisförändring, procent",0.8
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2014","Volymförändring, procent",2.9
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2015","Löpande priser, mnkr",1991284
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2015","Fasta priser referensår 2020, mnkr",2156622
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2015","Prisförändring, procent",1.0
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2015","Volymförändring, procent",4.2
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2016","Löpande priser, mnkr",2052532
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2016","Fasta priser referensår 2020, mnkr",2203179
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2016","Prisförändring, procent",0.9
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2016","Volymförändring, procent",2.2
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2017","Löpande priser, mnkr",2140474
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2017","Fasta priser referensår 2020, mnkr",2258329
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2017","Prisförändring, procent",1.7
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2017","Volymförändring, procent",2.5
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2018","Löpande priser, mnkr",2236047
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2018","Fasta priser referensår 2020, mnkr",2300946
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2018","Prisförändring, procent",2.5
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2018","Volymförändring, procent",1.9
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2019","Löpande priser, mnkr",2300307
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2019","Fasta priser referensår 2020, mnkr",2319025
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2019","Prisförändring, procent",2.1
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2019","Volymförändring, procent",0.8
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2020","Löpande priser, mnkr",2249509
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2020","Fasta priser referensår 2020, mnkr",2249509
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2020","Prisförändring, procent",0.8
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2020","Volymförändring, procent",-3.0
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2021","Löpande priser, mnkr",2429525
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2021","Fasta priser referensår 2020, mnkr",2376673
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2021","Prisförändring, procent",2.2
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2021","Volymförändring, procent",5.7
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2022","Löpande priser, mnkr",2665339
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2022","Fasta priser referensår 2020, mnkr",2442684
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2022","Prisförändring, procent",6.7
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2022","Volymförändring, procent",2.8
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2023","Löpande priser, mnkr",2798083
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2023","Fasta priser referensår 2020, mnkr",2403385
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2023","Prisförändring, procent",6.7
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2023","Volymförändring, procent",-1.6
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2024","Löpande priser, mnkr",2917998
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2024","Fasta priser referensår 2020, mnkr",2436608
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2024","Prisförändring, procent",2.9
"hushållens konsumtionsutgifter; inkl icke-vinstdrivande organisationer","2024","Volymförändring, procent",1.4
"offentliga konsumtionsutgifter","1980","Löpande priser, mnkr",161818
"offentliga konsumtionsutgifter","1980","Fasta priser referensår 2020, mnkr",854330
"offentliga konsumtionsutgifter","1980","Prisförändring, procent",..
"offentliga konsumtionsutgifter","1980","Volymförändring, procent",..
"offentliga konsumtionsutgifter","1981","Löpande priser, mnkr",178278
"offentliga konsumtionsutgifter","1981","Fasta priser referensår 2020, mnkr",869377
"offentliga konsumtionsutgifter","1981","Prisförändring, procent",8.3
"offentliga konsumtionsutgifter","1981","Volymförändring, procent",1.8
"offentliga konsumtionsutgifter","1982","Löpande priser, mnkr",194236
"offentliga konsumtionsutgifter","1982","Fasta priser referensår 2020, mnkr",878750
"offentliga konsumtionsutgifter","1982","Prisförändring, procent",7.8
"offentliga konsumtionsutgifter","1982","Volymförändring, procent",1.1
"offentliga konsumtionsutgifter","1983","Löpande priser, mnkr",213404
"offentliga konsumtionsutgifter","1983","Fasta priser referensår 2020, mnkr",885030
"offentliga konsumtionsutgifter","1983","Prisförändring, procent",9.1
"offentliga konsumtionsutgifter","1983","Volymförändring, procent",0.7
"offentliga konsumtionsutgifter","1984","Löpande priser, mnkr",231902
"offentliga konsumtionsutgifter","1984","Fasta priser referensår 2020, mnkr",901515
"offentliga konsumtionsutgifter","1984","Prisförändring, procent",6.7
"offentliga konsumtionsutgifter","1984","Volymförändring, procent",1.9
"offentliga konsumtionsutgifter","1985","Löpande priser, mnkr",249164
"offentliga konsumtionsutgifter","1985","Fasta priser referensår 2020, mnkr",914262
"offentliga konsumtionsutgifter","1985","Prisförändring, procent",5.9
"offentliga konsumtionsutgifter","1985","Volymförändring, procent",1.4
"offentliga konsumtionsutgifter","1986","Löpande priser, mnkr",268435
"offentliga konsumtionsutgifter","1986","Fasta priser referensår 2020, mnkr",932840
"offentliga konsumtionsutgifter","1986","Prisförändring, procent",5.6
"offentliga konsumtionsutgifter","1986","Volymförändring, procent",2.0
"offentliga konsumtionsutgifter","1987","Löpande priser, mnkr",281738
"offentliga konsumtionsutgifter","1987","Fasta priser referensår 2020, mnkr",942205
"offentliga konsumtionsutgifter","1987","Prisförändring, procent",3.9
"offentliga konsumtionsutgifter","1987","Volymförändring, procent",1.0
"offentliga konsumtionsutgifter","1988","Löpande priser, mnkr",299563
"offentliga konsumtionsutgifter","1988","Fasta priser referensår 2020, mnkr",948813
"offentliga konsumtionsutgifter","1988","Prisförändring, procent",5.6
"offentliga konsumtionsutgifter","1988","Volymförändring, procent",0.7
"offentliga konsumtionsutgifter","1989","Löpande priser, mnkr",335048
"offentliga konsumtionsutgifter","1989","Fasta priser referensår 2020, mnkr",966968
"offentliga konsumtionsutgifter","1989","Prisförändring, procent",9.7
"offentliga konsumtionsutgifter","1989","Volymförändring, procent",1.9
"offentliga konsumtionsutgifter","1990","Löpande priser, mnkr",386403
"offentliga konsumtionsutgifter","1990","Fasta priser referensår 2020, mnkr",995970
"offentliga konsumtionsutgifter","1990","Prisförändring, procent",12.0
"offentliga konsumtionsutgifter","1990","Volymförändring, procent",3.0
"offentliga konsumtionsutgifter","1991","Löpande priser, mnkr",427196
"offentliga konsumtionsutgifter","1991","Fasta priser referensår 2020, mnkr",1037180
"offentliga konsumtionsutgifter","1991","Prisförändring, procent",6.2
"offentliga konsumtionsutgifter","1991","Volymförändring, procent",4.1
"offentliga konsumtionsutgifter","1992","Löpande priser, mnkr",447760
"offentliga konsumtionsutgifter","1992","Fasta priser referensår 2020, mnkr",1064180
"offentliga konsumtionsutgifter","1992","Prisförändring, procent",2.2
"offentliga konsumtionsutgifter","1992","Volymförändring, procent",2.6
"offentliga konsumtionsutgifter","1993","Löpande priser, mnkr",453561
"offentliga konsumtionsutgifter","1993","Fasta priser referensår 2020, mnkr",1064026
"offentliga konsumtionsutgifter","1993","Prisförändring, procent",1.3
"offentliga konsumtionsutgifter","1993","Volymförändring, procent",0.0
"offentliga konsumtionsutgifter","1994","Löpande priser, mnkr",466145
"offentliga konsumtionsutgifter","1994","Fasta priser referensår 2020, mnkr",1055855
"offentliga konsumtionsutgifter","1994","Prisförändring, procent",3.6
"offentliga konsumtionsutgifter","1994","Volymförändring, procent",-0.8
"offentliga konsumtionsutgifter","1995","Löpande priser, mnkr",485400
"offentliga konsumtionsutgifter","1995","Fasta priser referensår 2020, mnkr",1062494
"offentliga konsumtionsutgifter","1995","Prisförändring, procent",3.5
"offentliga konsumtionsutgifter","1995","Volymförändring, procent",0.6
"offentliga konsumtionsutgifter","1996","Löpande priser, mnkr",505010
"offentliga konsumtionsutgifter","1996","Fasta priser referensår 2020, mnkr",1060384
"offentliga konsumtionsutgifter","1996","Prisförändring, procent",4.2
"offentliga konsumtionsutgifter","1996","Volymförändring, procent",-0.2
"offentliga konsumtionsutgifter","1997","Löpande priser, mnkr",517735
"offentliga konsumtionsutgifter","1997","Fasta priser referensår 2020, mnkr",1055954
"offentliga konsumtionsutgifter","1997","Prisförändring, procent",2.9
"offentliga konsumtionsutgifter","1997","Volymförändring, procent",-0.4
"offentliga konsumtionsutgifter","1998","Löpande priser, mnkr",545780
"offentliga konsumtionsutgifter","1998","Fasta priser referensår 2020, mnkr",1093645
"offentliga konsumtionsutgifter","1998","Prisförändring, procent",1.8
"offentliga konsumtionsutgifter","1998","Volymförändring, procent",3.6
"offentliga konsumtionsutgifter","1999","Löpande priser, mnkr",574326
"offentliga konsumtionsutgifter","1999","Fasta priser referensår 2020, mnkr",1112305
"offentliga konsumtionsutgifter","1999","Prisförändring, procent",3.5
"offentliga konsumtionsutgifter","1999","Volymförändring, procent",1.7
"offentliga konsumtionsutgifter","2000","Löpande priser, mnkr",589625
"offentliga konsumtionsutgifter","2000","Fasta priser referensår 2020, mnkr",1099465
"offentliga konsumtionsutgifter","2000","Prisförändring, procent",3.9
"offentliga konsumtionsutgifter","2000","Volymförändring, procent",-1.2
"offentliga konsumtionsutgifter","2001","Löpande priser, mnkr",618123
"offentliga konsumtionsutgifter","2001","Fasta priser referensår 2020, mnkr",1100159
"offentliga konsumtionsutgifter","2001","Prisförändring, procent",4.8
"offentliga konsumtionsutgifter","2001","Volymförändring, procent",0.1
"offentliga konsumtionsutgifter","2002","Löpande priser, mnkr",660161
"offentliga konsumtionsutgifter","2002","Fasta priser referensår 2020, mnkr",1124283
"offentliga konsumtionsutgifter","2002","Prisförändring, procent",4.5
"offentliga konsumtionsutgifter","2002","Volymförändring, procent",2.2
"offentliga konsumtionsutgifter","2003","Löpande priser, mnkr",694207
"offentliga konsumtionsutgifter","2003","Fasta priser referensår 2020, mnkr",1128547
"offentliga konsumtionsutgifter","2003","Prisförändring, procent",4.8
"offentliga konsumtionsutgifter","2003","Volymförändring, procent",0.4
"offentliga konsumtionsutgifter","2004","Löpande priser, mnkr",706829
"offentliga konsumtionsutgifter","2004","Fasta priser referensår 2020, mnkr",1122358
"offentliga konsumtionsutgifter","2004","Prisförändring, procent",2.4
"offentliga konsumtionsutgifter","2004","Volymförändring, procent",-0.5
"offentliga konsumtionsutgifter","2005","Löpande priser, mnkr",728352
"offentliga konsumtionsutgifter","2005","Fasta priser referensår 2020, mnkr",1126153
"offentliga konsumtionsutgifter","2005","Prisförändring, procent",2.7
"offentliga konsumtionsutgifter","2005","Volymförändring, procent",0.3
"offentliga konsumtionsutgifter","2006","Löpande priser, mnkr",766709
"offentliga konsumtionsutgifter","2006","Fasta priser referensår 2020, mnkr",1143651
"offentliga konsumtionsutgifter","2006","Prisförändring, procent",3.7
"offentliga konsumtionsutgifter","2006","Volymförändring, procent",1.6
"offentliga konsumtionsutgifter","2007","Löpande priser, mnkr",800024
"offentliga konsumtionsutgifter","2007","Fasta priser referensår 2020, mnkr",1150617
"offentliga konsumtionsutgifter","2007","Prisförändring, procent",3.7
"offentliga konsumtionsutgifter","2007","Volymförändring, procent",0.6
"offentliga konsumtionsutgifter","2008","Löpande priser, mnkr",838906
"offentliga konsumtionsutgifter","2008","Fasta priser referensår 2020, mnkr",1163225
"offentliga konsumtionsutgifter","2008","Prisförändring, procent",3.7
"offentliga konsumtionsutgifter","2008","Volymförändring, procent",1.1
"offentliga konsumtionsutgifter","2009","Löpande priser, mnkr",866897
"offentliga konsumtionsutgifter","2009","Fasta priser referensår 2020, mnkr",1191408
"offentliga konsumtionsutgifter","2009","Prisförändring, procent",0.9
"offentliga konsumtionsutgifter","2009","Volymförändring, procent",2.4
"offentliga konsumtionsutgifter","2010","Löpande priser, mnkr",892863
"offentliga konsumtionsutgifter","2010","Fasta priser referensår 2020, mnkr",1207962
"offentliga konsumtionsutgifter","2010","Prisförändring, procent",1.6
"offentliga konsumtionsutgifter","2010","Volymförändring, procent",1.4
"offentliga konsumtionsutgifter","2011","Löpande priser, mnkr",927335
"offentliga konsumtionsutgifter","2011","Fasta priser referensår 2020, mnkr",1217243
"offentliga konsumtionsutgifter","2011","Prisförändring, procent",3.1
"offentliga konsumtionsutgifter","2011","Volymförändring, procent",0.8
"offentliga konsumtionsutgifter","2012","Löpande priser, mnkr",961938
"offentliga konsumtionsutgifter","2012","Fasta priser referensår 2020, mnkr",1229550
"offentliga konsumtionsutgifter","2012","Prisförändring, procent",2.7
"offentliga konsumtionsutgifter","2012","Volymförändring, procent",1.0
"offentliga konsumtionsutgifter","2013","Löpande priser, mnkr",1002277
"offentliga konsumtionsutgifter","2013","Fasta priser referensår 2020, mnkr",1251970
"offentliga konsumtionsutgifter","2013","Prisförändring, procent",2.3
"offentliga konsumtionsutgifter","2013","Volymförändring, procent",1.8
"offentliga konsumtionsutgifter","2014","Löpande priser, mnkr",1042708
"offentliga konsumtionsutgifter","2014","Fasta priser referensår 2020, mnkr",1266134
"offentliga konsumtionsutgifter","2014","Prisförändring, procent",2.9
"offentliga konsumtionsutgifter","2014","Volymförändring, procent",1.1
"offentliga konsumtionsutgifter","2015","Löpande priser, mnkr",1095585
"offentliga konsumtionsutgifter","2015","Fasta priser referensår 2020, mnkr",1294022
"offentliga konsumtionsutgifter","2015","Prisförändring, procent",2.8
"offentliga konsumtionsutgifter","2015","Volymförändring, procent",2.2
"offentliga konsumtionsutgifter","2016","Löpande priser, mnkr",1164217
"offentliga konsumtionsutgifter","2016","Fasta priser referensår 2020, mnkr",1342035
"offentliga konsumtionsutgifter","2016","Prisförändring, procent",2.5
"offentliga konsumtionsutgifter","2016","Volymförändring, procent",3.7
"offentliga konsumtionsutgifter","2017","Löpande priser, mnkr",1205849
"offentliga konsumtionsutgifter","2017","Fasta priser referensår 2020, mnkr",1344868
"offentliga konsumtionsutgifter","2017","Prisförändring, procent",3.4
"offentliga konsumtionsutgifter","2017","Volymförändring, procent",0.2
"offentliga konsumtionsutgifter","2018","Löpande priser, mnkr",1260899
"offentliga konsumtionsutgifter","2018","Fasta priser referensår 2020, mnkr",1354709
"offentliga konsumtionsutgifter","2018","Prisförändring, procent",3.8
"offentliga konsumtionsutgifter","2018","Volymförändring, procent",0.7
"offentliga konsumtionsutgifter","2019","Löpande priser, mnkr",1299852
"offentliga konsumtionsutgifter","2019","Fasta priser referensår 2020, mnkr",1354772
"offentliga konsumtionsutgifter","2019","Prisförändring, procent",3.1
"offentliga konsumtionsutgifter","2019","Volymförändring, procent",0.0
"offentliga konsumtionsutgifter","2020","Löpande priser, mnkr",1333634
"offentliga konsumtionsutgifter","2020","Fasta priser referensår 2020, mnkr",1333634
"offentliga konsumtionsutgifter","2020","Prisförändring, procent",4.2
"offentliga konsumtionsutgifter","2020","Volymförändring, procent",-1.6
"offentliga konsumtionsutgifter","2021","Löpande priser, mnkr",1410050
"offentliga konsumtionsutgifter","2021","Fasta priser referensår 2020, mnkr",1379437
"offentliga konsumtionsutgifter","2021","Prisförändring, procent",2.2
"offentliga konsumtionsutgifter","2021","Volymförändring, procent",3.4
"offentliga konsumtionsutgifter","2022","Löpande priser, mnkr",1497226
"offentliga konsumtionsutgifter","2022","Fasta priser referensår 2020, mnkr",1388810
"offentliga konsumtionsutgifter","2022","Prisförändring, procent",5.5
"offentliga konsumtionsutgifter","2022","Volymförändring, procent",0.7
"offentliga konsumtionsutgifter","2023","Löpande priser, mnkr",1622880
"offentliga konsumtionsutgifter","2023","Fasta priser referensår 2020, mnkr",1403015
"offentliga konsumtionsutgifter","2023","Prisförändring, procent",7.3
"offentliga konsumtionsutgifter","2023","Volymförändring, procent",1.0
"offentliga konsumtionsutgifter","2024","Löpande priser, mnkr",1688606
"offentliga konsumtionsutgifter","2024","Fasta priser referensår 2020, mnkr",1417437
"offentliga konsumtionsutgifter","2024","Prisförändring, procent",3.0
"offentliga konsumtionsutgifter","2024","Volymförändring, procent",1.0
"statliga myndigheters konsumtionsutgifter","1980","Löpande priser, mnkr",55770
"statliga myndigheters konsumtionsutgifter","1980","Fasta priser referensår 2020, mnkr",257312
"statliga myndigheters konsumtionsutgifter","1980","Prisförändring, procent",..
"statliga myndigheters konsumtionsutgifter","1980","Volymförändring, procent",..
"statliga myndigheters konsumtionsutgifter","1981","Löpande priser, mnkr",59694
"statliga myndigheters konsumtionsutgifter","1981","Fasta priser referensår 2020, mnkr",256786
"statliga myndigheters konsumtionsutgifter","1981","Prisförändring, procent",7.3
"statliga myndigheters konsumtionsutgifter","1981","Volymförändring, procent",-0.2
"statliga myndigheters konsumtionsutgifter","1982","Löpande priser, mnkr",63880
"statliga myndigheters konsumtionsutgifter","1982","Fasta priser referensår 2020, mnkr",255461
"statliga myndigheters konsumtionsutgifter","1982","Prisförändring, procent",7.6
"statliga myndigheters konsumtionsutgifter","1982","Volymförändring, procent",-0.5
"statliga myndigheters konsumtionsutgifter","1983","Löpande priser, mnkr",67488
"statliga myndigheters konsumtionsutgifter","1983","Fasta priser referensår 2020, mnkr",248439
"statliga myndigheters konsumtionsutgifter","1983","Prisförändring, procent",8.6
"statliga myndigheters konsumtionsutgifter","1983","Volymförändring, procent",-2.7
"statliga myndigheters konsumtionsutgifter","1984","Löpande priser, mnkr",72045
"statliga myndigheters konsumtionsutgifter","1984","Fasta priser referensår 2020, mnkr",247559
"statliga myndigheters konsumtionsutgifter","1984","Prisförändring, procent",7.1
"statliga myndigheters konsumtionsutgifter","1984","Volymförändring, procent",-0.4
"statliga myndigheters konsumtionsutgifter","1985","Löpande priser, mnkr",76034
"statliga myndigheters konsumtionsutgifter","1985","Fasta priser referensår 2020, mnkr",246384
"statliga myndigheters konsumtionsutgifter","1985","Prisförändring, procent",6.0
"statliga myndigheters konsumtionsutgifter","1985","Volymförändring, procent",-0.5
"statliga myndigheters konsumtionsutgifter","1986","Löpande priser, mnkr",81748
"statliga myndigheters konsumtionsutgifter","1986","Fasta priser referensår 2020, mnkr",253688
"statliga myndigheters konsumtionsutgifter","1986","Prisförändring, procent",4.4
"statliga myndigheters konsumtionsutgifter","1986","Volymförändring, procent",3.0
"statliga myndigheters konsumtionsutgifter","1987","Löpande priser, mnkr",84476
"statliga myndigheters konsumtionsutgifter","1987","Fasta priser referensår 2020, mnkr",249337
"statliga myndigheters konsumtionsutgifter","1987","Prisförändring, procent",5.1
"statliga myndigheters konsumtionsutgifter","1987","Volymförändring, procent",-1.7
"statliga myndigheters konsumtionsutgifter","1988","Löpande priser, mnkr",89307
"statliga myndigheters konsumtionsutgifter","1988","Fasta priser referensår 2020, mnkr",248508
"statliga myndigheters konsumtionsutgifter","1988","Prisförändring, procent",6.1
"statliga myndigheters konsumtionsutgifter","1988","Volymförändring, procent",-0.3
"statliga myndigheters konsumtionsutgifter","1989","Löpande priser, mnkr",101363
"statliga myndigheters konsumtionsutgifter","1989","Fasta priser referensår 2020, mnkr",257671
"statliga myndigheters konsumtionsutgifter","1989","Prisförändring, procent",9.5
"statliga myndigheters konsumtionsutgifter","1989","Volymförändring, procent",3.7
"statliga myndigheters konsumtionsutgifter","1990","Löpande priser, mnkr",118045
"statliga myndigheters konsumtionsutgifter","1990","Fasta priser referensår 2020, mnkr",270290
"statliga myndigheters konsumtionsutgifter","1990","Prisförändring, procent",11.0
"statliga myndigheters konsumtionsutgifter","1990","Volymförändring, procent",4.9
"statliga myndigheters konsumtionsutgifter","1991","Löpande priser, mnkr",133761
"statliga myndigheters konsumtionsutgifter","1991","Fasta priser referensår 2020, mnkr",283928
"statliga myndigheters konsumtionsutgifter","1991","Prisförändring, procent",7.9
"statliga myndigheters konsumtionsutgifter","1991","Volymförändring, procent",5.0
"statliga myndigheters konsumtionsutgifter","1992","Löpande priser, mnkr",144955
"statliga myndigheters konsumtionsutgifter","1992","Fasta priser referensår 2020, mnkr",307560
"statliga myndigheters konsumtionsutgifter","1992","Prisförändring, procent",0.0
"statliga myndigheters konsumtionsutgifter","1992","Volymförändring, procent",8.3
"statliga myndigheters konsumtionsutgifter","1993","Löpande priser, mnkr",154402
"statliga myndigheters konsumtionsutgifter","1993","Fasta priser referensår 2020, mnkr",314755
"statliga myndigheters konsumtionsutgifter","1993","Prisförändring, procent",4.1
"statliga myndigheters konsumtionsutgifter","1993","Volymförändring, procent",2.3
"statliga myndigheters konsumtionsutgifter","1994","Löpande priser, mnkr",159209
"statliga myndigheters konsumtionsutgifter","1994","Fasta priser referensår 2020, mnkr",311593
"statliga myndigheters konsumtionsutgifter","1994","Prisförändring, procent",4.2
"statliga myndigheters konsumtionsutgifter","1994","Volymförändring, procent",-1.0
"statliga myndigheters konsumtionsutgifter","1995","Löpande priser, mnkr",166941
"statliga myndigheters konsumtionsutgifter","1995","Fasta priser referensår 2020, mnkr",316701
"statliga myndigheters konsumtionsutgifter","1995","Prisförändring, procent",3.2
"statliga myndigheters konsumtionsutgifter","1995","Volymförändring, procent",1.6
"statliga myndigheters konsumtionsutgifter","1996","Löpande priser, mnkr",168675
"statliga myndigheters konsumtionsutgifter","1996","Fasta priser referensår 2020, mnkr",310543
"statliga myndigheters konsumtionsutgifter","1996","Prisförändring, procent",3.0
"statliga myndigheters konsumtionsutgifter","1996","Volymförändring, procent",-1.9
"statliga myndigheters konsumtionsutgifter","1997","Löpande priser, mnkr",168189
"statliga myndigheters konsumtionsutgifter","1997","Fasta priser referensår 2020, mnkr",303020
"statliga myndigheters konsumtionsutgifter","1997","Prisförändring, procent",2.2
"statliga myndigheters konsumtionsutgifter","1997","Volymförändring, procent",-2.4
"statliga myndigheters konsumtionsutgifter","1998","Löpande priser, mnkr",163483
"statliga myndigheters konsumtionsutgifter","1998","Fasta priser referensår 2020, mnkr",290484
"statliga myndigheters konsumtionsutgifter","1998","Prisförändring, procent",1.4
"statliga myndigheters konsumtionsutgifter","1998","Volymförändring, procent",-4.1
"statliga myndigheters konsumtionsutgifter","1999","Löpande priser, mnkr",174346
"statliga myndigheters konsumtionsutgifter","1999","Fasta priser referensår 2020, mnkr",295715
"statliga myndigheters konsumtionsutgifter","1999","Prisförändring, procent",4.8
"statliga myndigheters konsumtionsutgifter","1999","Volymförändring, procent",1.8
"statliga myndigheters konsumtionsutgifter","2000","Löpande priser, mnkr",179548
"statliga myndigheters konsumtionsutgifter","2000","Fasta priser referensår 2020, mnkr",288288
"statliga myndigheters konsumtionsutgifter","2000","Prisförändring, procent",5.6
"statliga myndigheters konsumtionsutgifter","2000","Volymförändring, procent",-2.5
"statliga myndigheters konsumtionsutgifter","2001","Löpande priser, mnkr",180328
"statliga myndigheters konsumtionsutgifter","2001","Fasta priser referensår 2020, mnkr",279003
"statliga myndigheters konsumtionsutgifter","2001","Prisförändring, procent",3.8
"statliga myndigheters konsumtionsutgifter","2001","Volymförändring, procent",-3.2
"statliga myndigheters konsumtionsutgifter","2002","Löpande priser, mnkr",190933
"statliga myndigheters konsumtionsutgifter","2002","Fasta priser referensår 2020, mnkr",286334
"statliga myndigheters konsumtionsutgifter","2002","Prisförändring, procent",3.2
"statliga myndigheters konsumtionsutgifter","2002","Volymförändring, procent",2.6
"statliga myndigheters konsumtionsutgifter","2003","Löpande priser, mnkr",199687
"statliga myndigheters konsumtionsutgifter","2003","Fasta priser referensår 2020, mnkr",290980
"statliga myndigheters konsumtionsutgifter","2003","Prisförändring, procent",2.9
"statliga myndigheters konsumtionsutgifter","2003","Volymförändring, procent",1.6
"statliga myndigheters konsumtionsutgifter","2004","Löpande priser, mnkr",201033
"statliga myndigheters konsumtionsutgifter","2004","Fasta priser referensår 2020, mnkr",290776
"statliga myndigheters konsumtionsutgifter","2004","Prisförändring, procent",0.7
"statliga myndigheters konsumtionsutgifter","2004","Volymförändring, procent",-0.1
"statliga myndigheters konsumtionsutgifter","2005","Löpande priser, mnkr",203070
"statliga myndigheters konsumtionsutgifter","2005","Fasta priser referensår 2020, mnkr",286108
"statliga myndigheters konsumtionsutgifter","2005","Prisförändring, procent",2.7
"statliga myndigheters konsumtionsutgifter","2005","Volymförändring, procent",-1.6
"statliga myndigheters konsumtionsutgifter","2006","Löpande priser, mnkr",213136
"statliga myndigheters konsumtionsutgifter","2006","Fasta priser referensår 2020, mnkr",288807
"statliga myndigheters konsumtionsutgifter","2006","Prisförändring, procent",4.0
"statliga myndigheters konsumtionsutgifter","2006","Volymförändring, procent",0.9
"statliga myndigheters konsumtionsutgifter","2007","Löpande priser, mnkr",217765
"statliga myndigheters konsumtionsutgifter","2007","Fasta priser referensår 2020, mnkr",286017
"statliga myndigheters konsumtionsutgifter","2007","Prisförändring, procent",3.2
"statliga myndigheters konsumtionsutgifter","2007","Volymförändring, procent",-1.0
"statliga myndigheters konsumtionsutgifter","2008","Löpande priser, mnkr",225818
"statliga myndigheters konsumtionsutgifter","2008","Fasta priser referensår 2020, mnkr",286324
"statliga myndigheters konsumtionsutgifter","2008","Prisförändring, procent",3.6
"statliga myndigheters konsumtionsutgifter","2008","Volymförändring, procent",0.1
"statliga myndigheters konsumtionsutgifter","2009","Löpande priser, mnkr",236336
"statliga myndigheters konsumtionsutgifter","2009","Fasta priser referensår 2020, mnkr",297654
"statliga myndigheters konsumtionsutgifter","2009","Prisförändring, procent",0.7
"statliga myndigheters konsumtionsutgifter","2009","Volymförändring, procent",4.0
"statliga myndigheters konsumtionsutgifter","2010","Löpande priser, mnkr",245271
"statliga myndigheters konsumtionsutgifter","2010","Fasta priser referensår 2020, mnkr",308785
"statliga myndigheters konsumtionsutgifter","2010","Prisförändring, procent",0.0
"statliga myndigheters konsumtionsutgifter","2010","Volymförändring, procent",3.7
