region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän och förenklad fastighetstaxering. Taxeringsenheter, totalt taxerings-/basvärde och areal"
00 Riket,"310 Hyreshusenhet, tomtmark",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",3257
00 Riket,"310 Hyreshusenhet, tomtmark",bostadsrättsförening,2025,"Areal, kvkm",0.46
00 Riket,"310 Hyreshusenhet, tomtmark",ekonomisk förening utom BRF,2025,Taxeringsenheter,131
00 Riket,"310 Hyreshusenhet, tomtmark",ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",1536
00 Riket,"310 Hyreshusenhet, tomtmark",ekonomisk förening utom BRF,2025,"Areal, kvkm",0.56
00 Riket,"310 Hyreshusenhet, tomtmark",bank och försäkringsbolag,2025,Taxeringsenheter,7
00 Riket,"310 Hyreshusenhet, tomtmark",bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",16
00 Riket,"310 Hyreshusenhet, tomtmark",bank och försäkringsbolag,2025,"Areal, kvkm",0.02
00 Riket,"310 Hyreshusenhet, tomtmark",övrigt svenskt AB,2025,Taxeringsenheter,2533
00 Riket,"310 Hyreshusenhet, tomtmark",övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",28951
00 Riket,"310 Hyreshusenhet, tomtmark",övrigt svenskt AB,2025,"Areal, kvkm",14.59
00 Riket,"310 Hyreshusenhet, tomtmark",stiftelser (ej familjestiftelser),2025,Taxeringsenheter,14
00 Riket,"310 Hyreshusenhet, tomtmark",stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",136
00 Riket,"310 Hyreshusenhet, tomtmark",stiftelser (ej familjestiftelser),2025,"Areal, kvkm",0.06
00 Riket,"310 Hyreshusenhet, tomtmark",dödsbo,2025,Taxeringsenheter,21
00 Riket,"310 Hyreshusenhet, tomtmark",dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",9
00 Riket,"310 Hyreshusenhet, tomtmark",dödsbo,2025,"Areal, kvkm",0.12
00 Riket,"310 Hyreshusenhet, tomtmark",övriga,2025,Taxeringsenheter,507
00 Riket,"310 Hyreshusenhet, tomtmark",övriga,2025,"Totalt taxerings-/basvärde, miljoner kr",5422
00 Riket,"310 Hyreshusenhet, tomtmark",övriga,2025,"Areal, kvkm",3.25
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",fysisk person,2025,Taxeringsenheter,45
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",16
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",fysisk person,2025,"Areal, kvkm",0.18
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",stat,2025,Taxeringsenheter,1
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",stat,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",stat,2025,"Areal, kvkm",0.00
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad","kommun, region",2025,Taxeringsenheter,48
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad","kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",128
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad","kommun, region",2025,"Areal, kvkm",0.25
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",Svenska kyrkan,2025,Taxeringsenheter,..
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",..
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",Svenska kyrkan,2025,"Areal, kvkm",..
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",allmännyttigt bostadsföretag,2025,Taxeringsenheter,12
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",30
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",allmännyttigt bostadsföretag,2025,"Areal, kvkm",0.07
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",bostadsrättsförening,2025,Taxeringsenheter,7
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",55
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",bostadsrättsförening,2025,"Areal, kvkm",0.03
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",ekonomisk förening utom BRF,2025,Taxeringsenheter,2
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",18
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",ekonomisk förening utom BRF,2025,"Areal, kvkm",0.00
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",bank och försäkringsbolag,2025,Taxeringsenheter,..
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",..
